"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"7";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1, LED2, LED3, LED4, LED5, LED6, LED7";"LED";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";
"1";"";"PINHD-1X1";"1X01";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"1";"";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";
"1";"";"PINHD-2X3";"2X03";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"62";"";"";"";"";"";
"1";"0.1uF";"C-EUC0805";"C0805";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"C";
"2";"12pF";"C-EUC0805";"C0805";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"C";
"7";"330";"R-US_M0805";"M0805";"R1, R2, R3, R4, R5, R6, R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"1";"AS-16.000-18-SMD";"AS-16.000-18-SMD";"HC-49";"Y1";"Crystal SMD 16.000MHz HC49S-SMD Crystal 16MHz, +/-30ppm, 2-Pin HC-49-US SMD";"70417567";"";"Crystal SMD 16.000MHz HC49S-SMD Crystal 16MHz, +/-30ppm, 2-Pin HC-49-US SMD";"mm";"RALTRON";"AS-16.000-18-SMD";"";"";"";"";"";"";"7037129P";"http://uk.rs-online.com/web/p/products/7037129P";"";
"1";"ATMEGA328PB-AU";"ATMEGA328PB-AU";"QFP80P900X900X120-32N";"U1";"ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32 Check prices";"";"Good";" 8-bit Microcontrollers - MCU ATMEGA328PB 20MHZ IND TEMP ";"";"";"";"Microchip Technology / Atmel";"ATMEGA328PB-AU";"TQFP-32 Microchip Technology / Atmel";"";"None";"https://pricing.snapeda.com/search/part/ATMEGA328PB-AU/?ref=eda";"";"";"";
"1";"SCA600-C28H1G";"SCA600-C28H1G";"SCA600-C28H1G";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
